hours,price
798.0,7.85
799.0,18.02
800.0,20.58
801.0,17.45
802.0,15.65
803.0,10.47
804.0,6.65
805.0,6.99
806.0,9.79
807.0,12.11
808.0,15.37
809.0,17.49
810.0,28.41
811.0,40.56
812.0,26.37
813.0,24.44
814.0,24.12
815.0,23.1
816.0,20.76
817.0,18.55
818.0,18.27
819.0,18.77
820.0,19.29
821.0,20.32
822.0,26.63
823.0,37.82
824.0,40.55
825.0,29.98
826.0,23.91
827.0,24.22
828.0,22.91
829.0,20.28
830.0,19.12
831.0,18.7
832.0,18.44
833.0,18.71
834.0,34.49
835.0,34.68
836.0,22.53
837.0,21.65
838.0,20.84
839.0,21.11
840.0,19.01
841.0,20.67
842.0,19.96
843.0,19.76
844.0,19.96
845.0,20.64
846.0,23.93
847.0,22.25
848.0,23.01
849.0,20.9
850.0,18.52
851.0,11.94
852.0,10.74
853.0,9.98
854.0,12.28
855.0,15.79
856.0,18.22
857.0,19.6
858.0,34.83
859.0,58.78
860.0,33.69
861.0,25.93
862.0,23.02
863.0,24.94
864.0,22.08
865.0,23.72
866.0,20.18
867.0,18.69
868.0,18.86
869.0,18.75
870.0,21.43
871.0,22.66
872.0,24.17
873.0,21.47
874.0,14.98
875.0,14.12
876.0,13.98
877.0,14.95
878.0,15.87
879.0,15.9
880.0,16.02
881.0,18.6
882.0,31.97
883.0,27.34
884.0,19.57
885.0,19.19
886.0,17.07
887.0,14.61
888.0,11.23
889.0,4.79
890.0,5.58
891.0,8.69
892.0,11.61
893.0,15.46
894.0,19.98
895.0,24.72
896.0,27.53
897.0,29.88
898.0,24.51
899.0,24.31
900.0,22.67
901.0,23.62
902.0,24.48
903.0,23.57
904.0,22.79
905.0,25.89
906.0,42.59
907.0,61.47
908.0,29.64
909.0,25.32
910.0,25.22
911.0,21.32
912.0,20.75
913.0,19.29
914.0,18.9
915.0,19.28
916.0,19.72
917.0,19.8
918.0,23.13
919.0,35.76
920.0,42.42
921.0,34.82
922.0,34.66
923.0,35.49
924.0,30.75
925.0,26.89
926.0,25.05
927.0,23.71
928.0,22.61
929.0,24.0
930.0,33.14
931.0,30.49
932.0,25.9
933.0,25.33
934.0,24.4
935.0,22.9
936.0,21.51
937.0,26.48
938.0,26.27
939.0,25.81
940.0,27.7
941.0,24.15
942.0,28.76
943.0,52.6
944.0,53.64
945.0,50.69
946.0,45.01
947.0,39.33
948.0,33.04
949.0,32.4
950.0,29.09
951.0,28.44
952.0,28.96
953.0,32.01
954.0,40.5
955.0,44.59
956.0,38.6
957.0,34.63
958.0,31.38
959.0,27.72
960.0,27.44
961.0,40.19
962.0,38.66
963.0,38.11
964.0,38.33
965.0,37.1
966.0,47.0
967.0,72.04
968.0,75.44
969.0,73.49
970.0,73.89
971.0,68.58
972.0,56.92
973.0,51.0
974.0,47.88
975.0,45.23
976.0,43.77
977.0,52.37
978.0,68.25
979.0,97.36
980.0,67.92
981.0,59.68
982.0,53.59
983.0,42.66
984.0,43.71
985.0,89.73
986.0,86.8
987.0,88.13
988.0,92.28
989.0,93.64
990.0,111.59
991.0,220.42
992.0,289.13
993.0,255.23
994.0,275.05
995.0,203.13
996.0,156.9
997.0,123.05
998.0,115.59
999.0,108.94
1000.0,107.46
1001.0,125.09
1002.0,164.7
1003.0,277.93
1004.0,177.5
1005.0,155.14
1006.0,134.21
1007.0,103.91
1008.0,97.94
1009.0,448.93
1010.0,470.81
1011.0,503.72
1012.0,503.71
1013.0,505.56
1014.0,638.76
1015.0,1001.58
1016.0,2053.4
1017.0,2019.28
1018.0,2067.86
1019.0,1461.86
1020.0,1251.6
1021.0,1208.28
1022.0,1121.01
1023.0,1113.52
1024.0,1097.06
1025.0,1215.06
1026.0,1578.42
1027.0,2055.22
1028.0,2053.46
1029.0,1599.94
1030.0,1015.67
1031.0,918.32
1032.0,812.78
1033.0,2081.01
1034.0,2081.92
1035.0,2010.87
1036.0,2011.68
1037.0,2009.01
1038.0,2516.54
1039.0,6004.07
1040.0,6002.97
1041.0,6991.51
1042.0,5033.53
1043.0,5013.91
1044.0,4055.53
1045.0,3104.77
1046.0,3009.32
1047.0,3015.05
1048.0,3016.47
1049.0,3111.38
1050.0,5710.73
1051.0,7006.27
1052.0,6225.3
1053.0,5071.78
1054.0,4005.22
1055.0,3003.98
1056.0,2712.55
1057.0,3061.24
1058.0,3325.12
1059.0,3004.1
1060.0,4115.86
1061.0,4500.96
1062.0,7500.98
1063.0,7869.53
1064.0,7552.52
1065.0,7775.47
1066.0,7760.69
1067.0,7698.61
1068.0,7771.41
1069.0,7551.41
1070.0,7494.86
1071.0,7492.0
1072.0,6821.75
1073.0,6003.43
1074.0,7519.95
1075.0,7149.68
1076.0,7894.03
1077.0,7188.43
1078.0,6996.99
1079.0,7528.22
1080.0,7007.77
1081.0,7895.52
1082.0,7502.09
1083.0,7998.61
1084.0,7999.5
1085.0,7999.53
1086.0,8001.42
1087.0,7688.65
1088.0,7522.05
1089.0,7504.58
1090.0,7505.0
1091.0,7502.44
1092.0,7500.88
1093.0,6825.95
1094.0,6001.01
1095.0,5558.25
1096.0,5567.53
1097.0,4078.34
1098.0,6011.5
1099.0,6487.55
1100.0,6508.06
1101.0,6004.51
1102.0,6000.91
1103.0,7500.55
1104.0,7498.72
1105.0,9017.27
1106.0,9018.63
1107.0,9017.87
1108.0,9018.79
1109.0,9017.69
1110.0,9016.59
1111.0,8987.92
1112.0,9030.65
1113.0,9028.17
1114.0,9001.28
1115.0,8915.34
1116.0,9001.99
1117.0,8999.24
1118.0,8999.14
1119.0,8951.21
1120.0,8923.41
1121.0,8517.58
1122.0,8996.64
1123.0,8997.42
1124.0,8980.83
1125.0,8723.72
1126.0,6999.55
1127.0,8748.67
1128.0,8499.54
1129.0,7523.92
1130.0,7527.62
1131.0,7528.24
1132.0,7527.33
1133.0,7828.03
1134.0,8018.56
1135.0,8014.84
1136.0,8510.62
1137.0,8508.4
1138.0,8534.82
1139.0,8520.04
1140.0,8751.9
1141.0,8528.16
1142.0,8539.04
1143.0,8065.71
1144.0,8025.82
1145.0,7455.27
1146.0,8002.68
1147.0,8711.16
1148.0,8526.97
1149.0,7994.1
1150.0,7987.06
1151.0,7991.87
1152.0,7994.82
1153.0,8491.19
1154.0,8498.04
1155.0,8497.11
1156.0,8499.38
1157.0,8499.49
1158.0,8501.01
1159.0,8708.82
1160.0,8762.82
1161.0,8705.67
1162.0,8492.69
1163.0,8492.64
1164.0,5992.42
1165.0,3623.42
1166.0,1523.17
1167.0,1077.15
1168.0,998.63
1169.0,879.72
1170.0,1519.22
1171.0,2520.2
1172.0,3465.48
1173.0,3235.17
1174.0,2505.66
1175.0,2982.63
1176.0,2384.04
1177.0,165.11
1178.0,155.91
1179.0,154.48
1180.0,153.42
1181.0,210.27
1182.0,299.65
1183.0,150.97
1184.0,203.65
1185.0,154.04
1186.0,90.37
1187.0,58.33
1188.0,45.01
1189.0,35.86
1190.0,6.18
1191.0,2.1
1192.0,2.05
1193.0,1.26
1194.0,10.66
1195.0,15.46
1196.0,15.58
1197.0,12.73
1198.0,10.88
1199.0,40.39
1200.0,35.76
1201.0,13.47
1202.0,12.51
1203.0,11.84
1204.0,11.87
1205.0,12.56
1206.0,13.68
1207.0,11.11
1208.0,17.39
1209.0,21.47
1210.0,24.97
1211.0,25.48
1212.0,25.4
1213.0,25.16
1214.0,18.4
1215.0,17.37
1216.0,17.69
1217.0,19.71
1218.0,25.17
1219.0,35.0
1220.0,30.02
1221.0,26.13
1222.0,25.31
1223.0,28.04
1224.0,25.04
1225.0,22.28
1226.0,22.21
1227.0,21.64
1228.0,22.22
1229.0,22.38
1230.0,25.04
1231.0,47.98
1232.0,44.03
1233.0,32.92
1234.0,30.0
1235.0,26.71
1236.0,24.81
1237.0,23.46
1238.0,22.4
