hours,price
1102.0,161.57309
1103.0,104.18183
1104.0,86.01353
1105.0,104.10091
1106.0,93.59386
1107.0,89.20741
1108.0,93.12998
1109.0,101.84047
1110.0,115.95678
1111.0,167.57542
1112.0,160.49086
1113.0,98.43729
1114.0,73.53319
1115.0,53.82679
1116.0,44.76405
1117.0,43.90386
1118.0,40.95602
1119.0,44.10952
1120.0,55.54134
1121.0,113.51031
1122.0,484.527
1123.0,729.35333
1124.0,665.5152
1125.0,432.369
1126.0,211.46008
1127.0,131.2016
1128.0,126.02308
1129.0,144.97652
1130.0,122.39987
1131.0,121.66694
1132.0,123.67399
1133.0,128.4588
1134.0,136.9889
1135.0,227.31761
1136.0,369.59448
1137.0,128.56378
1138.0,86.08518
1139.0,69.76647
1140.0,68.68956
1141.0,61.61504
1142.0,64.63347
1143.0,61.18776
1144.0,86.63521
1145.0,174.05807
1146.0,938.3395
1147.0,975.9937
1148.0,974.32886
1149.0,948.7463
1150.0,841.86646
1151.0,168.59955
1152.0,108.16724
1153.0,142.1697
1154.0,94.58802
1155.0,116.77688
1156.0,117.32126
1157.0,139.19025
1158.0,145.23769
1159.0,269.71964
1160.0,175.99281
1161.0,101.52605
1162.0,62.53758
1163.0,55.8122
1164.0,47.42063
1165.0,48.47
1166.0,48.83969
1167.0,47.82911
1168.0,61.02003
1169.0,135.04852
1170.0,263.18976
1171.0,334.41913
1172.0,291.25726
1173.0,202.11118
1174.0,179.24254
1175.0,155.01228
1176.0,128.00043
1177.0,67.32558
1178.0,53.92961
1179.0,51.19653
1180.0,49.92649
1181.0,58.42324
1182.0,74.25845
1183.0,92.44855
1184.0,60.61379
1185.0,39.44017
1186.0,29.94175
1187.0,24.41483
1188.0,20.30282
1189.0,18.7178
1190.0,14.81359
1191.0,19.84525
1192.0,26.54257
1193.0,47.35488
1194.0,76.26307
1195.0,92.49093
1196.0,80.93271
1197.0,73.5213
1198.0,68.415
1199.0,64.05577
1200.0,55.6433
1201.0,39.34238
1202.0,37.1148
1203.0,35.71893
1204.0,35.74422
1205.0,35.97918
1206.0,41.00977
1207.0,40.69084
1208.0,35.78366
1209.0,19.51137
1210.0,8.47173
1211.0,0.93522
1212.0,0.0079
1213.0,-0.02002
1214.0,-0.0107
1215.0,-0.00887
1216.0,1.00121
1217.0,28.2013
1218.0,51.21801
1219.0,68.97107
1220.0,52.08276
1221.0,49.32908
1222.0,46.40052
1223.0,43.38703
1224.0,40.13913
1225.0,37.66892
1226.0,35.78985
1227.0,35.85501
1228.0,36.21684
1229.0,36.53753
1230.0,39.22263
1231.0,44.52132
1232.0,35.55298
1233.0,18.38677
1234.0,3.09546
1235.0,0.00322
1236.0,-0.00887
1237.0,-0.00856
1238.0,-0.00857
1239.0,-0.00172
1240.0,4.78094
1241.0,31.38447
1242.0,58.08197
1243.0,63.06149
1244.0,54.63919
1245.0,50.15017
1246.0,46.34807
1247.0,40.21544
1248.0,37.8891
1249.0,35.82962
1250.0,34.84984
1251.0,34.91837
1252.0,34.81452
1253.0,40.30966
1254.0,53.35508
1255.0,68.05968
1256.0,46.02232
1257.0,34.47429
1258.0,28.08177
1259.0,16.9306
1260.0,15.3016
1261.0,12.98637
1262.0,11.3805
1263.0,14.88191
1264.0,28.43874
1265.0,42.61028
1266.0,65.94651
1267.0,73.42612
1268.0,63.0085
1269.0,59.83877
1270.0,51.86408
1271.0,45.21249
1272.0,45.28145
1273.0,36.24403
1274.0,34.43958
1275.0,34.51868
1276.0,33.32825
1277.0,35.04227
1278.0,44.05099
1279.0,53.17742
1280.0,37.16891
1281.0,27.28902
1282.0,19.19422
1283.0,12.89813
1284.0,8.63172
1285.0,5.95054
1286.0,8.65202
1287.0,14.79654
1288.0,26.62676
1289.0,39.51631
1290.0,55.0375
1291.0,66.1444
1292.0,55.75677
1293.0,50.39976
1294.0,42.81319
1295.0,39.24541
1296.0,35.81374
1297.0,31.43544
1298.0,30.42112
1299.0,29.84381
1300.0,30.16188
1301.0,30.94467
1302.0,39.70941
1303.0,47.37271
1304.0,33.12432
1305.0,24.02053
1306.0,14.65378
1307.0,8.99235
1308.0,6.0724
1309.0,3.42818
1310.0,1.73225
1311.0,3.3003
1312.0,12.90346
1313.0,29.48909
1314.0,44.12496
1315.0,50.06234
1316.0,43.45935
1317.0,41.82894
1318.0,39.75037
1319.0,37.22699
1320.0,35.19647
1321.0,32.742
1322.0,31.14241
1323.0,30.4811
1324.0,30.40554
1325.0,31.60642
1326.0,41.20477
1327.0,48.70437
1328.0,34.94464
1329.0,24.89239
1330.0,17.66228
1331.0,12.8685
1332.0,10.52197
1333.0,5.90882
1334.0,5.9345
1335.0,8.63788
1336.0,19.08734
1337.0,34.14869
1338.0,49.11191
1339.0,55.77377
1340.0,49.54535
1341.0,45.98598
1342.0,41.50048
1343.0,37.96731
1344.0,34.59541
1345.0,32.86468
1346.0,31.02154
1347.0,29.2863
1348.0,29.8759
1349.0,31.96477
1350.0,40.37631
1351.0,46.25206
1352.0,32.77037
1353.0,23.98152
1354.0,11.72499
1355.0,10.28772
1356.0,6.31097
1357.0,1.46171
1358.0,0.96488
1359.0,1.98699
1360.0,6.71359
1361.0,28.21207
1362.0,45.43276
1363.0,47.67337
1364.0,44.07153
1365.0,40.83922
1366.0,36.27084
1367.0,33.62281
1368.0,33.45686
1369.0,36.31719
1370.0,35.28807
1371.0,33.27307
1372.0,32.30928
1373.0,33.22172
1374.0,38.63184
1375.0,40.69769
1376.0,30.47713
1377.0,10.38844
1378.0,1.54299
1379.0,0.02259
1380.0,0.0064
1381.0,0.00097
1382.0,0.00595
1383.0,0.01454
1384.0,1.24765
1385.0,25.40404
1386.0,44.71447
1387.0,49.14102
1388.0,48.94795
1389.0,45.9127
1390.0,42.51287
1391.0,37.97521
1392.0,36.32996
1393.0,35.58624
1394.0,34.3716
1395.0,33.71641
1396.0,32.81797
1397.0,35.55522
1398.0,40.09203
1399.0,41.26712
1400.0,30.41167
1401.0,15.3323
1402.0,5.34667
1403.0,0.74984
1404.0,0.47783
1405.0,0.29414
1406.0,0.1226
1407.0,0.28875
1408.0,6.91649
1409.0,28.31552
1410.0,49.05911
1411.0,55.38948
1412.0,49.08421
1413.0,45.3909
1414.0,41.74572
1415.0,38.84795
1416.0,36.16731
1417.0,37.00897
1418.0,35.36633
1419.0,35.45859
1420.0,35.88593
1421.0,39.44664
1422.0,45.50499
1423.0,54.28671
1424.0,38.41205
1425.0,28.52629
1426.0,21.17853
1427.0,19.28894
1428.0,15.17698
1429.0,11.07731
1430.0,11.233
1431.0,13.07103
1432.0,20.26484
1433.0,35.70378
1434.0,53.91986
1435.0,64.12888
1436.0,54.6649
1437.0,48.72167
1438.0,45.09575
1439.0,40.27487
1440.0,35.55153
1441.0,34.13907
1442.0,32.53286
1443.0,31.87342
1444.0,31.75863
1445.0,35.13586
1446.0,42.02307
1447.0,48.04723
1448.0,35.50032
1449.0,27.94019
1450.0,21.09015
1451.0,17.30808
1452.0,15.03256
1453.0,11.19862
1454.0,12.65057
1455.0,14.40017
1456.0,24.51286
1457.0,34.27839
1458.0,50.81534
1459.0,59.69764
1460.0,54.50127
1461.0,45.96649
1462.0,42.17883
1463.0,37.1153
1464.0,35.63041
1465.0,34.1992
1466.0,32.30744
1467.0,32.25147
1468.0,32.40629
1469.0,35.64855
1470.0,42.22962
1471.0,47.85352
1472.0,35.106
1473.0,30.11223
1474.0,27.99303
1475.0,26.25689
1476.0,24.9463
1477.0,22.89508
1478.0,25.70133
